user_message,bot_response,label,language,user_topic,bot_topic
Na refund inka account lo padaledu.,Mee order repu delivery avtundi sir.,INTENT_MISMATCH,tinglish,refund,delivery
Order eppudu reach avtundi?,Payment fail ayite amount 5 rojullo return avtundi.,INTENT_MISMATCH,tinglish,delivery,payment
Money deduct ayyindi kani order place avvaledu.,Mee account password reset chesi malli login avvandi.,INTENT_MISMATCH,tinglish,payment,account
Nenu account login cheyalekapothunna.,Ee product ippudu stock lo available undi.,INTENT_MISMATCH,tinglish,account,product
Ee order cancel cheyyali.,Mee refund already process lo undi.,INTENT_MISMATCH,tinglish,cancellation,refund
Na refund status cheppandi.,"Refund approve ayyindi, 3-5 working days lo credit avtundi.",CORRECT,tinglish,refund,refund
Delivery chala late avtundi enduku?,"Sorry sir, parcel transit lo undi mariyu tondaraga deliver chestam.",CORRECT,tinglish,delivery,delivery
UPI payment successful kani order kanipinchadam ledu.,Order create kakapothe amount automatic ga reverse avtundi.,CORRECT,tinglish,payment,payment
Na account password marchipoya.,Forgot Password option use chesi kotha password set cheskondi.,CORRECT,tinglish,account,account
Naku ee item cancel cheyyali.,Mee cancellation request successful ga complete ayyindi.,CORRECT,tinglish,cancellation,cancellation
என் பணத்திருப்பு இன்னும் வரவில்லை.,உங்கள் ஆர்டர் நாளைக்கு டெலிவரி ஆகும்.,INTENT_MISMATCH,tamil,refund,delivery
ஆர்டர் எப்போது வரும்?,பணம் செலுத்துதல் தோல்வியடைந்தால் தொகை 5 நாட்களில் திரும்ப வரும்.,INTENT_MISMATCH,tamil,delivery,payment
பணம் கழிக்கப்பட்டது ஆனால் ஆர்டர் பதிவு ஆகவில்லை.,உங்கள் கணக்கு கடவுச்சொல்லை மாற்றி மீண்டும் உள்நுழையுங்கள்.,INTENT_MISMATCH,tamil,payment,account
என் கணக்கில் உள்நுழைய முடியவில்லை.,இந்த தயாரிப்பு தற்போது கையிருப்பில் உள்ளது.,INTENT_MISMATCH,tamil,account,product
இந்த ஆர்டரை ரத்து செய்ய வேண்டும்.,உங்கள் பணத்திருப்பு செயல்பாட்டில் உள்ளது.,INTENT_MISMATCH,tamil,cancellation,refund
என் பணத்திருப்பு எப்போது கிடைக்கும்?,"உங்கள் பணத்திருப்பு ஒப்புதல் பெறப்பட்டுள்ளது, 5 வேலை நாட்களில் கிடைக்கும்.",CORRECT,tamil,refund,refund
டெலிவரி ஏன் தாமதமாகிறது?,"மன்னிக்கவும், உங்கள் பார்சல் வழியில் உள்ளது மற்றும் விரைவில் வரும்.",CORRECT,tamil,delivery,delivery
பணம் செலுத்தப்பட்டது ஆனால் ஆர்டர் தெரியவில்லை.,ஆர்டர் உருவாகவில்லை என்றால் தொகை தானாக திரும்ப வழங்கப்படும்.,CORRECT,tamil,payment,payment
என் கணக்கு கடவுச்சொல்லை மாற்ற முடியவில்லை.,'கடவுச்சொல் மறந்துவிட்டதா' என்பதை பயன்படுத்தி புதிய கடவுச்சொல் அமைக்கவும்.,CORRECT,tamil,account,account
இந்த ஆர்டரை ரத்து செய்ய வேண்டும்.,உங்கள் ஆர்டர் வெற்றிகரமாக ரத்து செய்யப்பட்டது.,CORRECT,tamil,cancellation,cancellation
Maine refund request dala tha but amount abhi tak nahi aaya.,Aapka return pickup successfully schedule ho gaya hai.,INTENT_MISMATCH,hinglish,refund,cancellation
"Delivery address galat update ho gaya, ab kya karu?",Aap order cancel karke naya order place kar sakte ho.,INTENT_MISMATCH,hinglish,delivery,cancellation
Payment successful dikh raha hai but confirmation mail nahi mila.,Aap spam folder check kar lo aur account verify kar lo.,INTENT_MISMATCH,hinglish,payment,account
Mera account temporarily blocked ho gaya hai.,Password reset link aapke registered email pe bhej diya gaya hai.,INTENT_MISMATCH,hinglish,account,account
Product ka size galat deliver hua hai.,Aap replacement request raise kar sakte ho agar product damaged ho.,INTENT_MISMATCH,hinglish,product,refund
Maine cancellation kiya tha fir bhi order ship ho gaya.,Order abhi transit me hai aur jaldi deliver ho jayega.,INTENT_MISMATCH,hinglish,cancellation,delivery
Refund amount expected se kam mila.,Refund successfully processed ho gaya hai.,INTENT_MISMATCH,hinglish,refund,refund
UPI payment do baar deduct ho gaya.,"Ek payment automatically reverse ho jayega, aap order status bhi check kar sakte ho.",INTENT_MISMATCH,hinglish,payment,delivery
Mera refund status kya hai?,Refund approve ho gaya hai aur 5 working days me credit ho jayega.,CORRECT,hinglish,refund,refund
Order abhi tak deliver nahi hua.,"Sorry for the delay, parcel nearest hub me hai aur kal tak aa jayega.",CORRECT,hinglish,delivery,delivery
Payment fail hua but paise cut gaye.,Agar order create nahi hua hai toh amount auto-reverse ho jayega.,CORRECT,hinglish,payment,payment
Main account login nahi kar pa raha.,Forgot Password option use karke password reset kar lo.,CORRECT,hinglish,account,account
Received product ka color different hai.,Aap replacement ya return request app se raise kar sakte ho.,CORRECT,hinglish,product,product
Mujhe ye order cancel karna hai.,"Order abhi packed nahi hua hai, cancellation successful ho gaya.",CORRECT,hinglish,cancellation,cancellation
Return pickup kab hoga?,Pickup next 2 din me schedule ho jayega aur SMS update mil jayega.,CORRECT,hinglish,refund,refund
Mera refund itna late kyun hai? Paise kab milenge finally?,Aapka order already dispatch ho chuka hai aur jaldi deliver hoga.,INTENT_MISMATCH,hinglish,refund,delivery
3 din ho gaye aur order abhi tak ship bhi nahi hua!,Agar payment fail hua hai toh amount auto reverse ho jayega.,INTENT_MISMATCH,hinglish,delivery,payment
"Mere account me login hi nahi ho raha, kya bakwaas app hai!",Aap product ka replacement request raise kar sakte ho.,INTENT_MISMATCH,hinglish,account,product
"Payment do baar deduct ho gaya, koi response bhi nahi mil raha!",Aap account settings me address update kar sakte ho.,INTENT_MISMATCH,hinglish,payment,account
"Maine cancel kiya tha fir bhi parcel bhej diya, seriously?",Refund 5 working days me process ho jayega.,INTENT_MISMATCH,hinglish,cancellation,refund
Jo product bheja hai wo totally alag nikla!,Aapka parcel abhi nearest hub me hai.,INTENT_MISMATCH,hinglish,product,delivery
"Refund amount pura nahi mila, ye kya scam hai?",Aap order cancel karke dobara place kar sakte ho.,INTENT_MISMATCH,hinglish,refund,cancellation
"Delivery date baar baar change ho rahi hai, kitna wait karu?",Aapka account successfully verify ho gaya hai.,INTENT_MISMATCH,hinglish,delivery,account
"Mera refund abhi tak process nahi hua, bahut irritating hai.","Sorry for the delay, refund already initiate ho gaya hai aur 3-5 din me credit ho jayega.",CORRECT,hinglish,refund,refund
"Order expected date cross kar gaya, abhi tak deliver nahi hua.","Apologies sir, parcel transit me hai aur kal tak delivery ho jayegi.",CORRECT,hinglish,delivery,delivery
Payment successful tha fir bhi order confirm nahi hua.,Agar order create nahi hua hai toh amount automatically reverse ho jayega.,CORRECT,hinglish,payment,payment
Main password reset kar raha hu but OTP hi nahi aa raha.,"Please ensure registered mobile active hai, fir OTP resend try karein.",CORRECT,hinglish,account,account
"Mujhe damaged product mila hai, bahut disappointing hai.",Aap replacement ya return request app se raise kar sakte ho.,CORRECT,hinglish,product,product
"Ab mujhe ye order nahi chahiye, turant cancel karo.","Order abhi shipped nahi hua hai, cancellation successfully ho gaya.",CORRECT,hinglish,cancellation,cancellation
Return pickup kab hoga? Roz wait kar raha hu.,Pickup next 24-48 hours me schedule ho jayega aur SMS update mil jayega.,CORRECT,hinglish,refund,refund
refund aya kya,Aapka order kal deliver hoga sir.,INTENT_MISMATCH,hinglish,refund,delivery
order kidhr h,Payment fail hone pe auto refund milta hai.,INTENT_MISMATCH,hinglish,delivery,payment
paise kat gye bs,Aap password reset karke login karo.,INTENT_MISMATCH,hinglish,payment,account
login ni ho rha,Ye product abhi stock me hai.,INTENT_MISMATCH,hinglish,account,product
cancel krna tha yrr,Refund process already start ho gaya hai.,INTENT_MISMATCH,hinglish,cancellation,refund
galat item aya,Aapka parcel out for delivery hai.,INTENT_MISMATCH,hinglish,product,delivery
refund half aya,Order cancel successfully ho gaya.,INTENT_MISMATCH,hinglish,refund,cancellation
refund kb tk,Refund 3-5 working days me aa jayega.,CORRECT,hinglish,refund,refund
parcel abhi tk ni aya,"Sorry delay hai, parcel transit me hai.",CORRECT,hinglish,delivery,delivery
upi fail but money cut,Amount auto reverse ho jayega agar order place nahi hua.,CORRECT,hinglish,payment,payment
otp ni aa rha,Please resend OTP ya thodi der baad try karo.,CORRECT,hinglish,account,account
size alag bhej diya,Aap replacement request raise kar sakte ho.,CORRECT,hinglish,product,product
order cancel kro,Aapka order successfully cancel ho gaya.,CORRECT,hinglish,cancellation,cancellation
return pickup kb,Pickup 2 din me schedule ho jayega.,CORRECT,hinglish,refund,refund
delivery late h bhai,"Parcel nearest hub me hai, jaldi deliver hoga.",CORRECT,hinglish,delivery,delivery
रिफंड आया क्या,आपका ऑर्डर कल डिलीवर होगा सर।,INTENT_MISMATCH,hindi,refund,delivery
ऑर्डर किधर है,भुगतान असफल होने पर पैसा अपने आप वापस आ जाता है।,INTENT_MISMATCH,hindi,delivery,payment
पैसे कट गए बस,आप पासवर्ड रीसेट करके फिर से लॉगिन करें।,INTENT_MISMATCH,hindi,payment,account
लॉगिन नहीं हो रहा,यह उत्पाद अभी स्टॉक में उपलब्ध है।,INTENT_MISMATCH,hindi,account,product
कैंसल करना था यार,आपका रिफंड पहले ही प्रक्रिया में है।,INTENT_MISMATCH,hindi,cancellation,refund
गलत आइटम आया,आपका पार्सल डिलीवरी के लिए निकल चुका है।,INTENT_MISMATCH,hindi,product,delivery
रिफंड आधा आया,आपका ऑर्डर सफलतापूर्वक रद्द हो गया।,INTENT_MISMATCH,hindi,refund,cancellation
रिफंड कब तक,रिफंड 3-5 कार्यदिवस में मिल जाएगा।,CORRECT,hindi,refund,refund
पार्सल अभी तक नहीं आया,"देरी के लिए खेद है, पार्सल रास्ते में है।",CORRECT,hindi,delivery,delivery
यूपीआई फेल पर पैसे कट गए,अगर ऑर्डर नहीं बना है तो राशि अपने आप वापस हो जाएगी।,CORRECT,hindi,payment,payment
ओटीपी नहीं आ रहा,कृपया ओटीपी फिर से भेजें या थोड़ी देर बाद प्रयास करें।,CORRECT,hindi,account,account
गलत साइज भेज दिया,आप रिप्लेसमेंट अनुरोध दर्ज कर सकते हैं।,CORRECT,hindi,product,product
ऑर्डर कैंसल करो,आपका ऑर्डर सफलतापूर्वक रद्द कर दिया गया है।,CORRECT,hindi,cancellation,cancellation
रिटर्न पिकअप कब,पिकअप 2 दिनों में निर्धारित हो जाएगा।,CORRECT,hindi,refund,refund
डिलीवरी लेट है भाई,पार्सल नजदीकी हब में है और जल्द डिलीवर होगा।,CORRECT,hindi,delivery,delivery
"मेरा रिफंड अभी तक नहीं आया, आखिर कब मिलेगा?",आपका ऑर्डर कल तक डिलीवर हो जाएगा।,INTENT_MISMATCH,hindi,refund,delivery
3 दिन हो गए और ऑर्डर अभी तक भेजा भी नहीं गया!,यदि भुगतान असफल हुआ है तो राशि अपने आप वापस हो जाएगी।,INTENT_MISMATCH,hindi,delivery,payment
"मैं अकाउंट में लॉगिन नहीं कर पा रहा, क्या बेकार ऐप है!",यह उत्पाद अभी स्टॉक में उपलब्ध है।,INTENT_MISMATCH,hindi,account,product
दो बार पैसे कट गए लेकिन कोई जवाब नहीं मिल रहा!,आप अपना पता अकाउंट सेटिंग्स में अपडेट कर सकते हैं।,INTENT_MISMATCH,hindi,payment,account
"मैंने ऑर्डर रद्द किया था फिर भी भेज दिया गया, ये क्या है?",आपका रिफंड 5 कार्यदिवस में प्रक्रिया हो जाएगा।,INTENT_MISMATCH,hindi,cancellation,refund
जो उत्पाद मिला है वो पूरी तरह गलत है!,आपका पार्सल अभी नजदीकी हब में है।,INTENT_MISMATCH,hindi,product,delivery
"रिफंड पूरा नहीं मिला, ये क्या धोखा है?",आप ऑर्डर रद्द करके दोबारा ऑर्डर कर सकते हैं।,INTENT_MISMATCH,hindi,refund,cancellation
"डिलीवरी की तारीख बार-बार बदल रही है, कब तक इंतजार करूं?",आपका अकाउंट सफलतापूर्वक सत्यापित हो गया है।,INTENT_MISMATCH,hindi,delivery,account
"मेरा रिफंड अभी तक प्रक्रिया में नहीं आया, बहुत परेशान हो गया हूँ।","देरी के लिए खेद है, आपका रिफंड शुरू कर दिया गया है और 3-5 दिनों में मिल जाएगा।",CORRECT,hindi,refund,refund
ऑर्डर की तय तारीख निकल गई लेकिन डिलीवरी नहीं हुई।,"क्षमा करें, आपका पार्सल रास्ते में है और कल तक पहुंच जाएगा।",CORRECT,hindi,delivery,delivery
भुगतान सफल था फिर भी ऑर्डर कन्फर्म नहीं हुआ।,यदि ऑर्डर नहीं बना है तो राशि अपने आप वापस हो जाएगी।,CORRECT,hindi,payment,payment
मैं पासवर्ड रीसेट कर रहा हूँ लेकिन ओटीपी नहीं आ रहा।,कृपया सुनिश्चित करें कि आपका मोबाइल नंबर सक्रिय है और फिर ओटीपी दोबारा भेजें।,CORRECT,hindi,account,account
"मुझे खराब उत्पाद मिला है, बहुत निराश हूँ।",आप रिप्लेसमेंट या रिटर्न अनुरोध दर्ज कर सकते हैं।,CORRECT,hindi,product,product
"अब मुझे ये ऑर्डर नहीं चाहिए, तुरंत रद्द करो।","ऑर्डर अभी भेजा नहीं गया है, इसलिए सफलतापूर्वक रद्द कर दिया गया है।",CORRECT,hindi,cancellation,cancellation
रिटर्न पिकअप कब होगा? रोज इंतजार कर रहा हूँ।,पिकअप अगले 24-48 घंटों में निर्धारित हो जाएगा और आपको संदेश मिल जाएगा।,CORRECT,hindi,refund,refund
रिफंड आया क्या,आपका ऑर्डर कल तक पहुंच जाएगा।,INTENT_MISMATCH,hindi,refund,delivery
ऑर्डर कहाँ है,भुगतान असफल होने पर पैसा वापस हो जाता है।,INTENT_MISMATCH,hindi,delivery,payment
पैसे कट गए बस,आप पासवर्ड बदलकर फिर से लॉगिन करें।,INTENT_MISMATCH,hindi,payment,account
लॉगिन नहीं हो रहा,यह उत्पाद अभी उपलब्ध है।,INTENT_MISMATCH,hindi,account,product
कैंसल करना था,रिफंड प्रक्रिया पहले ही शुरू हो चुकी है।,INTENT_MISMATCH,hindi,cancellation,refund
गलत सामान आया,आपका पार्सल डिलीवरी के लिए निकल चुका है।,INTENT_MISMATCH,hindi,product,delivery
रिफंड आधा आया,ऑर्डर सफलतापूर्वक रद्द कर दिया गया है।,INTENT_MISMATCH,hindi,refund,cancellation
यूपीआई फेल पैसे कट गए,अगर ऑर्डर नहीं बना है तो राशि वापस हो जाएगी।,CORRECT,hindi,payment,payment
ओटीपी नहीं आ रहा,कृपया ओटीपी दोबारा भेजें या थोड़ी देर बाद प्रयास करें।,CORRECT,hindi,account,account
डिलीवरी लेट है,पार्सल नजदीकी हब में है और जल्द पहुंचेगा।,CORRECT,hindi,delivery,delivery
I requested a refund but the money still hasn't arrived.,Your return pickup has already been scheduled.,INTENT_MISMATCH,english,refund,cancellation
"The delivery address was updated incorrectly, what should I do now?",You can cancel the order and place a new one.,INTENT_MISMATCH,english,delivery,cancellation
Payment shows successful but I never got an order confirmation.,Please check your email inbox and spam folder.,INTENT_MISMATCH,english,payment,account
My account has been temporarily blocked.,A password reset link has been sent to your registered email.,INTENT_MISMATCH,english,account,account
I received the wrong size product.,You can request a replacement if the item is damaged.,INTENT_MISMATCH,english,product,refund
I cancelled the order but it still got shipped.,Your package is currently in transit and will arrive soon.,INTENT_MISMATCH,english,cancellation,delivery
The refund amount I received is less than expected.,Your refund has been processed successfully.,INTENT_MISMATCH,english,refund,refund
My UPI payment got deducted twice.,"One payment will be automatically reversed, you can also check your order status.",INTENT_MISMATCH,english,payment,delivery
What is the status of my refund?,Your refund has been approved and will reflect within 5 working days.,CORRECT,english,refund,refund
My order has still not been delivered.,"Sorry for the delay, your parcel is at the nearest hub and should arrive tomorrow.",CORRECT,english,delivery,delivery
The payment failed but money was deducted.,"If the order was not created, the amount will be automatically refunded.",CORRECT,english,payment,payment
I am unable to log into my account.,Please use the 'Forgot Password' option to reset your password.,CORRECT,english,account,account
I received a damaged product.,You can raise a replacement or return request from the app.,CORRECT,english,product,product
I want to cancel this order.,"The order has not been packed yet, so it has been cancelled successfully.",CORRECT,english,cancellation,cancellation
When will the return pickup happen?,The pickup will be scheduled within the next 2 days and you will receive an SMS update.,CORRECT,english,refund,refund
"My refund still hasn't arrived, how long does this take?",Your order will be delivered by tomorrow.,INTENT_MISMATCH,english,refund,delivery
It's been 3 days and my order hasn't even shipped yet!,"If the payment failed, the amount will be automatically refunded.",INTENT_MISMATCH,english,delivery,payment
"I can't log into my account, this app is terrible!",This product is currently available in stock.,INTENT_MISMATCH,english,account,product
My money got deducted twice and nobody is replying!,You can update your address from the account settings page.,INTENT_MISMATCH,english,payment,account
I cancelled the order but you people still shipped it!,Your refund will be processed within 5 working days.,INTENT_MISMATCH,english,cancellation,refund
The product I received is completely wrong!,Your parcel is currently at the nearest delivery hub.,INTENT_MISMATCH,english,product,delivery
"I didn't receive the full refund amount, what kind of scam is this?",You can cancel the order and place a new one.,INTENT_MISMATCH,english,refund,cancellation
"The delivery date keeps changing again and again, how long should I wait?",Your account has been verified successfully.,INTENT_MISMATCH,english,delivery,account
"My refund is still not processed, this is really frustrating.","Sorry for the delay, your refund has been initiated and should reflect within 3-5 days.",CORRECT,english,refund,refund
The expected delivery date is over but the order still hasn't arrived.,"Apologies, your parcel is in transit and should arrive by tomorrow.",CORRECT,english,delivery,delivery
The payment was successful but the order was never confirmed.,"If the order was not created, the amount will be automatically reversed.",CORRECT,english,payment,payment
I'm trying to reset my password but the OTP never comes.,Please make sure your registered mobile number is active and try resending the OTP.,CORRECT,english,account,account
I received a damaged product and this is very disappointing.,You can raise a replacement or return request from the app.,CORRECT,english,product,product
"I don't want this order anymore, cancel it right now.","The order has not been shipped yet, so it has been cancelled successfully.",CORRECT,english,cancellation,cancellation
When will the return pickup happen? I've been waiting every day.,The pickup will be scheduled within the next 24-48 hours and you will receive an SMS update.,CORRECT,english,refund,refund
refund yet,Your order will arrive tomorrow.,INTENT_MISMATCH,english,refund,delivery
where order,Failed payments are refunded automatically.,INTENT_MISMATCH,english,delivery,payment
money deducted bro,Please reset your password and log in again.,INTENT_MISMATCH,english,payment,account
cant login,This product is currently in stock.,INTENT_MISMATCH,english,account,product
cancel it yaar,Your refund process has already started.,INTENT_MISMATCH,english,cancellation,refund
wrong item came,Your parcel is out for delivery.,INTENT_MISMATCH,english,product,delivery
refund only half,Your order has been cancelled successfully.,INTENT_MISMATCH,english,refund,cancellation
refund when,The refund will reflect within 3-5 working days.,CORRECT,english,refund,refund
parcel not arrived,"Sorry for the delay, the parcel is still in transit.",CORRECT,english,delivery,delivery
upi fail money cut,If the order was not created the amount will be reversed.,CORRECT,english,payment,payment
otp not coming,Please resend the OTP or try again later.,CORRECT,english,account,account
sent wrong size,You can raise a replacement request from the app.,CORRECT,english,product,product
cancel my order,Your order has been cancelled successfully.,CORRECT,english,cancellation,cancellation
return pickup when,The pickup will be scheduled within 2 days.,CORRECT,english,refund,refund
delivery too late,Your parcel is at the nearest hub and will arrive soon.,CORRECT,english,delivery,delivery
నేను రిఫండ్ కోరాను కానీ డబ్బు ఇంకా రాలేదు.,మీ రిటర్న్ పికప్ ఇప్పటికే షెడ్యూల్ చేయబడింది.,INTENT_MISMATCH,telugu,refund,cancellation
"డెలివరీ చిరునామా తప్పుగా మారింది, ఇప్పుడు ఏమి చేయాలి?",మీరు ఆర్డర్ రద్దు చేసి మళ్లీ ఆర్డర్ పెట్టవచ్చు.,INTENT_MISMATCH,telugu,delivery,cancellation
చెల్లింపు విజయవంతమైందని చూపిస్తోంది కానీ నిర్ధారణ రాలేదు.,మీ ఈమెయిల్ ఇన్‌బాక్స్ మరియు స్పామ్ ఫోల్డర్ చూడండి.,INTENT_MISMATCH,telugu,payment,account
నా అకౌంట్ తాత్కాలికంగా బ్లాక్ అయింది.,పాస్‌వర్డ్ రీసెట్ లింక్ మీ ఈమెయిల్‌కు పంపించాం.,INTENT_MISMATCH,telugu,account,account
తప్పు సైజ్ ఉత్పత్తి వచ్చింది.,ఉత్పత్తి దెబ్బతిన్నట్లయితే రీప్లేస్‌మెంట్ కోరవచ్చు.,INTENT_MISMATCH,telugu,product,refund
ఆర్డర్ రద్దు చేశాను కానీ ఇంకా షిప్ అయింది.,మీ పార్సెల్ ప్రస్తుతం రవాణాలో ఉంది మరియు త్వరలో చేరుతుంది.,INTENT_MISMATCH,telugu,cancellation,delivery
రిఫండ్ మొత్తం పూర్తిగా రాలేదు.,మీ రిఫండ్ విజయవంతంగా ప్రాసెస్ చేయబడింది.,INTENT_MISMATCH,telugu,refund,refund
యూపీఐ ద్వారా రెండు సార్లు డబ్బు కట్ అయింది.,"ఒక చెల్లింపు ఆటోమేటిక్‌గా తిరిగి జమ అవుతుంది, ఆర్డర్ స్థితి కూడా చూడండి.",INTENT_MISMATCH,telugu,payment,delivery
నా రిఫండ్ స్థితి ఏమిటి?,"రిఫండ్ ఆమోదించబడింది, 5 పని రోజులలో ఖాతాలో జమ అవుతుంది.",CORRECT,telugu,refund,refund
ఆర్డర్ ఇంకా డెలివరీ కాలేదు.,"క్షమించండి, పార్సెల్ సమీప హబ్‌లో ఉంది మరియు రేపటికి చేరుతుంది.",CORRECT,telugu,delivery,delivery
చెల్లింపు విఫలమైంది కానీ డబ్బు కట్ అయింది.,ఆర్డర్ సృష్టించబడకపోతే మొత్తం ఆటోమేటిక్‌గా తిరిగి వస్తుంది.,CORRECT,telugu,payment,payment
నేను అకౌంట్‌లో లాగిన్ అవ్వలేకపోతున్నాను.,'పాస్‌వర్డ్ మర్చిపోయారా' ఎంపికతో పాస్‌వర్డ్ రీసెట్ చేయండి.,CORRECT,telugu,account,account
దెబ్బతిన్న ఉత్పత్తి వచ్చింది.,మీరు రీప్లేస్‌మెంట్ లేదా రిటర్న్ అభ్యర్థన పెట్టవచ్చు.,CORRECT,telugu,product,product
