user_message,bot_response,label,language,user_topic,bot_topic,similarity_score
இந்த ஆர்டரை ரத்து செய்ய வேண்டும்.,உங்கள் பணத்திருப்பு செயல்பாட்டில் உள்ளது.,INTENT_MISMATCH,tamil,cancellation,refund,0.2066
என் பணத்திருப்பு எப்போது கிடைக்கும்?,"உங்கள் பணத்திருப்பு ஒப்புதல் பெறப்பட்டுள்ளது, 5 வேலை நாட்களில் கிடைக்கும்.",CORRECT,tamil,refund,refund,0.4326
டெலிவரி ஏன் தாமதமாகிறது?,"மன்னிக்கவும், உங்கள் பார்சல் வழியில் உள்ளது மற்றும் விரைவில் வரும்.",CORRECT,tamil,delivery,delivery,0.3208
பணம் செலுத்தப்பட்டது ஆனால் ஆர்டர் தெரியவில்லை.,ஆர்டர் உருவாகவில்லை என்றால் தொகை தானாக திரும்ப வழங்கப்படும்.,CORRECT,tamil,payment,payment,0.551
என் கணக்கு கடவுச்சொல்லை மாற்ற முடியவில்லை.,'கடவுச்சொல் மறந்துவிட்டதா' என்பதை பயன்படுத்தி புதிய கடவுச்சொல் அமைக்கவும்.,CORRECT,tamil,account,account,0.2082
இந்த ஆர்டரை ரத்து செய்ய வேண்டும்.,உங்கள் ஆர்டர் வெற்றிகரமாக ரத்து செய்யப்பட்டது.,CORRECT,tamil,cancellation,cancellation,0.6309
Maine refund request dala tha but amount abhi tak nahi aaya.,Aapka return pickup successfully schedule ho gaya hai.,INTENT_MISMATCH,hinglish,refund,cancellation,0.291
"Delivery address galat update ho gaya, ab kya karu?",Aap order cancel karke naya order place kar sakte ho.,INTENT_MISMATCH,hinglish,delivery,cancellation,0.4858
Payment successful dikh raha hai but confirmation mail nahi mila.,Aap spam folder check kar lo aur account verify kar lo.,INTENT_MISMATCH,hinglish,payment,account,0.426
Mera account temporarily blocked ho gaya hai.,Password reset link aapke registered email pe bhej diya gaya hai.,INTENT_MISMATCH,hinglish,account,account,0.5471
Product ka size galat deliver hua hai.,Aap replacement request raise kar sakte ho agar product damaged ho.,INTENT_MISMATCH,hinglish,product,refund,0.3804
Maine cancellation kiya tha fir bhi order ship ho gaya.,Order abhi transit me hai aur jaldi deliver ho jayega.,INTENT_MISMATCH,hinglish,cancellation,delivery,0.433
Refund amount expected se kam mila.,Refund successfully processed ho gaya hai.,INTENT_MISMATCH,hinglish,refund,refund,0.4936
UPI payment do baar deduct ho gaya.,"Ek payment automatically reverse ho jayega, aap order status bhi check kar sakte ho.",INTENT_MISMATCH,hinglish,payment,delivery,0.5904
Mera refund status kya hai?,Refund approve ho gaya hai aur 5 working days me credit ho jayega.,CORRECT,hinglish,refund,refund,0.4453
Order abhi tak deliver nahi hua.,"Sorry for the delay, parcel nearest hub me hai aur kal tak aa jayega.",CORRECT,hinglish,delivery,delivery,0.6406
Payment fail hua but paise cut gaye.,Agar order create nahi hua hai toh amount auto-reverse ho jayega.,CORRECT,hinglish,payment,payment,0.3411
Main account login nahi kar pa raha.,Forgot Password option use karke password reset kar lo.,CORRECT,hinglish,account,account,0.5042
Received product ka color different hai.,Aap replacement ya return request app se raise kar sakte ho.,CORRECT,hinglish,product,product,0.354
Mujhe ye order cancel karna hai.,"Order abhi packed nahi hua hai, cancellation successful ho gaya.",CORRECT,hinglish,cancellation,cancellation,0.4917
Return pickup kab hoga?,Pickup next 2 din me schedule ho jayega aur SMS update mil jayega.,CORRECT,hinglish,refund,refund,0.5427
Mera refund itna late kyun hai? Paise kab milenge finally?,Aapka order already dispatch ho chuka hai aur jaldi deliver hoga.,INTENT_MISMATCH,hinglish,refund,delivery,0.5296
3 din ho gaye aur order abhi tak ship bhi nahi hua!,Agar payment fail hua hai toh amount auto reverse ho jayega.,INTENT_MISMATCH,hinglish,delivery,payment,0.4478
"Mere account me login hi nahi ho raha, kya bakwaas app hai!",Aap product ka replacement request raise kar sakte ho.,INTENT_MISMATCH,hinglish,account,product,0.3338
"Payment do baar deduct ho gaya, koi response bhi nahi mil raha!",Aap account settings me address update kar sakte ho.,INTENT_MISMATCH,hinglish,payment,account,0.2965
"Maine cancel kiya tha fir bhi parcel bhej diya, seriously?",Refund 5 working days me process ho jayega.,INTENT_MISMATCH,hinglish,cancellation,refund,0.2685
Jo product bheja hai wo totally alag nikla!,Aapka parcel abhi nearest hub me hai.,INTENT_MISMATCH,hinglish,product,delivery,0.4356
"Refund amount pura nahi mila, ye kya scam hai?",Aap order cancel karke dobara place kar sakte ho.,INTENT_MISMATCH,hinglish,refund,cancellation,0.4847
"Delivery date baar baar change ho rahi hai, kitna wait karu?",Aapka account successfully verify ho gaya hai.,INTENT_MISMATCH,hinglish,delivery,account,0.4391
"Mera refund abhi tak process nahi hua, bahut irritating hai.","Sorry for the delay, refund already initiate ho gaya hai aur 3-5 din me credit ho jayega.",CORRECT,hinglish,refund,refund,0.6818
"Order expected date cross kar gaya, abhi tak deliver nahi hua.","Apologies sir, parcel transit me hai aur kal tak delivery ho jayegi.",CORRECT,hinglish,delivery,delivery,0.5836
Payment successful tha fir bhi order confirm nahi hua.,Agar order create nahi hua hai toh amount automatically reverse ho jayega.,CORRECT,hinglish,payment,payment,0.4888
Main password reset kar raha hu but OTP hi nahi aa raha.,"Please ensure registered mobile active hai, fir OTP resend try karein.",CORRECT,hinglish,account,account,0.6182
"Mujhe damaged product mila hai, bahut disappointing hai.",Aap replacement ya return request app se raise kar sakte ho.,CORRECT,hinglish,product,product,0.3804
"Ab mujhe ye order nahi chahiye, turant cancel karo.","Order abhi shipped nahi hua hai, cancellation successfully ho gaya.",CORRECT,hinglish,cancellation,cancellation,0.6258
Return pickup kab hoga? Roz wait kar raha hu.,Pickup next 24-48 hours me schedule ho jayega aur SMS update mil jayega.,CORRECT,hinglish,refund,refund,0.5347
refund aya kya,Aapka order kal deliver hoga sir.,INTENT_MISMATCH,hinglish,refund,delivery,0.4359
order kidhr h,Payment fail hone pe auto refund milta hai.,INTENT_MISMATCH,hinglish,delivery,payment,0.039
paise kat gye bs,Aap password reset karke login karo.,INTENT_MISMATCH,hinglish,payment,account,0.1126
login ni ho rha,Ye product abhi stock me hai.,INTENT_MISMATCH,hinglish,account,product,0.4334
cancel krna tha yrr,Refund process already start ho gaya hai.,INTENT_MISMATCH,hinglish,cancellation,refund,0.2927
galat item aya,Aapka parcel out for delivery hai.,INTENT_MISMATCH,hinglish,product,delivery,0.4411
refund half aya,Order cancel successfully ho gaya.,INTENT_MISMATCH,hinglish,refund,cancellation,0.3038
refund kb tk,Refund 3-5 working days me aa jayega.,CORRECT,hinglish,refund,refund,0.4974
parcel abhi tk ni aya,"Sorry delay hai, parcel transit me hai.",CORRECT,hinglish,delivery,delivery,0.5231
upi fail but money cut,Amount auto reverse ho jayega agar order place nahi hua.,CORRECT,hinglish,payment,payment,0.1471
otp ni aa rha,Please resend OTP ya thodi der baad try karo.,CORRECT,hinglish,account,account,0.6195
size alag bhej diya,Aap replacement request raise kar sakte ho.,CORRECT,hinglish,product,product,0.2125
order cancel kro,Aapka order successfully cancel ho gaya.,CORRECT,hinglish,cancellation,cancellation,0.5497
return pickup kb,Pickup 2 din me schedule ho jayega.,CORRECT,hinglish,refund,refund,0.5228
delivery late h bhai,"Parcel nearest hub me hai, jaldi deliver hoga.",CORRECT,hinglish,delivery,delivery,0.6262
रिफंड आया क्या,आपका ऑर्डर कल डिलीवर होगा सर।,INTENT_MISMATCH,hindi,refund,delivery,0.4001
ऑर्डर किधर है,भुगतान असफल होने पर पैसा अपने आप वापस आ जाता है।,INTENT_MISMATCH,hindi,delivery,payment,0.169
पैसे कट गए बस,आप पासवर्ड रीसेट करके फिर से लॉगिन करें।,INTENT_MISMATCH,hindi,payment,account,0.238
लॉगिन नहीं हो रहा,यह उत्पाद अभी स्टॉक में उपलब्ध है।,INTENT_MISMATCH,hindi,account,product,0.0913
कैंसल करना था यार,आपका रिफंड पहले ही प्रक्रिया में है।,INTENT_MISMATCH,hindi,cancellation,refund,0.1806
गलत आइटम आया,आपका पार्सल डिलीवरी के लिए निकल चुका है।,INTENT_MISMATCH,hindi,product,delivery,0.4088
रिफंड आधा आया,आपका ऑर्डर सफलतापूर्वक रद्द हो गया।,INTENT_MISMATCH,hindi,refund,cancellation,0.2929
रिफंड कब तक,रिफंड 3-5 कार्यदिवस में मिल जाएगा।,CORRECT,hindi,refund,refund,0.7317
पार्सल अभी तक नहीं आया,"देरी के लिए खेद है, पार्सल रास्ते में है।",CORRECT,hindi,delivery,delivery,0.6074
यूपीआई फेल पर पैसे कट गए,अगर ऑर्डर नहीं बना है तो राशि अपने आप वापस हो जाएगी।,CORRECT,hindi,payment,payment,0.2869
ओटीपी नहीं आ रहा,कृपया ओटीपी फिर से भेजें या थोड़ी देर बाद प्रयास करें।,CORRECT,hindi,account,account,0.4446
गलत साइज भेज दिया,आप रिप्लेसमेंट अनुरोध दर्ज कर सकते हैं।,CORRECT,hindi,product,product,0.2315
ऑर्डर कैंसल करो,आपका ऑर्डर सफलतापूर्वक रद्द कर दिया गया है।,CORRECT,hindi,cancellation,cancellation,0.3517
रिटर्न पिकअप कब,पिकअप 2 दिनों में निर्धारित हो जाएगा।,CORRECT,hindi,refund,refund,0.5055
डिलीवरी लेट है भाई,पार्सल नजदीकी हब में है और जल्द डिलीवर होगा।,CORRECT,hindi,delivery,delivery,0.4888
"मेरा रिफंड अभी तक नहीं आया, आखिर कब मिलेगा?",आपका ऑर्डर कल तक डिलीवर हो जाएगा।,INTENT_MISMATCH,hindi,refund,delivery,0.4193
3 दिन हो गए और ऑर्डर अभी तक भेजा भी नहीं गया!,यदि भुगतान असफल हुआ है तो राशि अपने आप वापस हो जाएगी।,INTENT_MISMATCH,hindi,delivery,payment,0.2256
"मैं अकाउंट में लॉगिन नहीं कर पा रहा, क्या बेकार ऐप है!",यह उत्पाद अभी स्टॉक में उपलब्ध है।,INTENT_MISMATCH,hindi,account,product,0.1486
दो बार पैसे कट गए लेकिन कोई जवाब नहीं मिल रहा!,आप अपना पता अकाउंट सेटिंग्स में अपडेट कर सकते हैं।,INTENT_MISMATCH,hindi,payment,account,0.1057
"मैंने ऑर्डर रद्द किया था फिर भी भेज दिया गया, ये क्या है?",आपका रिफंड 5 कार्यदिवस में प्रक्रिया हो जाएगा।,INTENT_MISMATCH,hindi,cancellation,refund,0.2874
जो उत्पाद मिला है वो पूरी तरह गलत है!,आपका पार्सल अभी नजदीकी हब में है।,INTENT_MISMATCH,hindi,product,delivery,0.1665
"रिफंड पूरा नहीं मिला, ये क्या धोखा है?",आप ऑर्डर रद्द करके दोबारा ऑर्डर कर सकते हैं।,INTENT_MISMATCH,hindi,refund,cancellation,0.3732
"डिलीवरी की तारीख बार-बार बदल रही है, कब तक इंतजार करूं?",आपका अकाउंट सफलतापूर्वक सत्यापित हो गया है।,INTENT_MISMATCH,hindi,delivery,account,0.1158
"मेरा रिफंड अभी तक प्रक्रिया में नहीं आया, बहुत परेशान हो गया हूँ।","देरी के लिए खेद है, आपका रिफंड शुरू कर दिया गया है और 3-5 दिनों में मिल जाएगा।",CORRECT,hindi,refund,refund,0.6489
ऑर्डर की तय तारीख निकल गई लेकिन डिलीवरी नहीं हुई।,"क्षमा करें, आपका पार्सल रास्ते में है और कल तक पहुंच जाएगा।",CORRECT,hindi,delivery,delivery,0.4653
भुगतान सफल था फिर भी ऑर्डर कन्फर्म नहीं हुआ।,यदि ऑर्डर नहीं बना है तो राशि अपने आप वापस हो जाएगी।,CORRECT,hindi,payment,payment,0.5918
मैं पासवर्ड रीसेट कर रहा हूँ लेकिन ओटीपी नहीं आ रहा।,कृपया सुनिश्चित करें कि आपका मोबाइल नंबर सक्रिय है और फिर ओटीपी दोबारा भेजें।,CORRECT,hindi,account,account,0.3796
"मुझे खराब उत्पाद मिला है, बहुत निराश हूँ।",आप रिप्लेसमेंट या रिटर्न अनुरोध दर्ज कर सकते हैं।,CORRECT,hindi,product,product,0.2172
"अब मुझे ये ऑर्डर नहीं चाहिए, तुरंत रद्द करो।","ऑर्डर अभी भेजा नहीं गया है, इसलिए सफलतापूर्वक रद्द कर दिया गया है।",CORRECT,hindi,cancellation,cancellation,0.5237
रिटर्न पिकअप कब होगा? रोज इंतजार कर रहा हूँ।,पिकअप अगले 24-48 घंटों में निर्धारित हो जाएगा और आपको संदेश मिल जाएगा।,CORRECT,hindi,refund,refund,0.6477
रिफंड आया क्या,आपका ऑर्डर कल तक पहुंच जाएगा।,INTENT_MISMATCH,hindi,refund,delivery,0.342
ऑर्डर कहाँ है,भुगतान असफल होने पर पैसा वापस हो जाता है।,INTENT_MISMATCH,hindi,delivery,payment,0.1662
पैसे कट गए बस,आप पासवर्ड बदलकर फिर से लॉगिन करें।,INTENT_MISMATCH,hindi,payment,account,0.2004
लॉगिन नहीं हो रहा,यह उत्पाद अभी उपलब्ध है।,INTENT_MISMATCH,hindi,account,product,0.118
कैंसल करना था,रिफंड प्रक्रिया पहले ही शुरू हो चुकी है।,INTENT_MISMATCH,hindi,cancellation,refund,0.1735
गलत सामान आया,आपका पार्सल डिलीवरी के लिए निकल चुका है।,INTENT_MISMATCH,hindi,product,delivery,0.5115
रिफंड आधा आया,ऑर्डर सफलतापूर्वक रद्द कर दिया गया है।,INTENT_MISMATCH,hindi,refund,cancellation,0.2528
यूपीआई फेल पैसे कट गए,अगर ऑर्डर नहीं बना है तो राशि वापस हो जाएगी।,CORRECT,hindi,payment,payment,0.3514
ओटीपी नहीं आ रहा,कृपया ओटीपी दोबारा भेजें या थोड़ी देर बाद प्रयास करें।,CORRECT,hindi,account,account,0.4389
डिलीवरी लेट है,पार्सल नजदीकी हब में है और जल्द पहुंचेगा।,CORRECT,hindi,delivery,delivery,0.4912
I requested a refund but the money still hasn't arrived.,Your return pickup has already been scheduled.,INTENT_MISMATCH,english,refund,cancellation,0.1937
"The delivery address was updated incorrectly, what should I do now?",You can cancel the order and place a new one.,INTENT_MISMATCH,english,delivery,cancellation,0.3802
Payment shows successful but I never got an order confirmation.,Please check your email inbox and spam folder.,INTENT_MISMATCH,english,payment,account,0.0909
My account has been temporarily blocked.,A password reset link has been sent to your registered email.,INTENT_MISMATCH,english,account,account,0.5358
I received the wrong size product.,You can request a replacement if the item is damaged.,INTENT_MISMATCH,english,product,refund,0.4057
I cancelled the order but it still got shipped.,Your package is currently in transit and will arrive soon.,INTENT_MISMATCH,english,cancellation,delivery,0.4159
The refund amount I received is less than expected.,Your refund has been processed successfully.,INTENT_MISMATCH,english,refund,refund,0.4733
My UPI payment got deducted twice.,"One payment will be automatically reversed, you can also check your order status.",INTENT_MISMATCH,english,payment,delivery,0.4551
What is the status of my refund?,Your refund has been approved and will reflect within 5 working days.,CORRECT,english,refund,refund,0.6194
My order has still not been delivered.,"Sorry for the delay, your parcel is at the nearest hub and should arrive tomorrow.",CORRECT,english,delivery,delivery,0.4631
The payment failed but money was deducted.,"If the order was not created, the amount will be automatically refunded.",CORRECT,english,payment,payment,0.4596
I am unable to log into my account.,Please use the 'Forgot Password' option to reset your password.,CORRECT,english,account,account,0.5033
I received a damaged product.,You can raise a replacement or return request from the app.,CORRECT,english,product,product,0.2452
I want to cancel this order.,"The order has not been packed yet, so it has been cancelled successfully.",CORRECT,english,cancellation,cancellation,0.5553
When will the return pickup happen?,The pickup will be scheduled within the next 2 days and you will receive an SMS update.,CORRECT,english,refund,refund,0.5935
"My refund still hasn't arrived, how long does this take?",Your order will be delivered by tomorrow.,INTENT_MISMATCH,english,refund,delivery,0.3655
It's been 3 days and my order hasn't even shipped yet!,"If the payment failed, the amount will be automatically refunded.",INTENT_MISMATCH,english,delivery,payment,0.1593
"I can't log into my account, this app is terrible!",This product is currently available in stock.,INTENT_MISMATCH,english,account,product,0.1137
My money got deducted twice and nobody is replying!,You can update your address from the account settings page.,INTENT_MISMATCH,english,payment,account,0.1951
I cancelled the order but you people still shipped it!,Your refund will be processed within 5 working days.,INTENT_MISMATCH,english,cancellation,refund,0.2379
The product I received is completely wrong!,Your parcel is currently at the nearest delivery hub.,INTENT_MISMATCH,english,product,delivery,0.1779
"I didn't receive the full refund amount, what kind of scam is this?",You can cancel the order and place a new one.,INTENT_MISMATCH,english,refund,cancellation,0.3119
"The delivery date keeps changing again and again, how long should I wait?",Your account has been verified successfully.,INTENT_MISMATCH,english,delivery,account,0.1238
"My refund is still not processed, this is really frustrating.","Sorry for the delay, your refund has been initiated and should reflect within 3-5 days.",CORRECT,english,refund,refund,0.6242
The expected delivery date is over but the order still hasn't arrived.,"Apologies, your parcel is in transit and should arrive by tomorrow.",CORRECT,english,delivery,delivery,0.541
The payment was successful but the order was never confirmed.,"If the order was not created, the amount will be automatically reversed.",CORRECT,english,payment,payment,0.3099
I'm trying to reset my password but the OTP never comes.,Please make sure your registered mobile number is active and try resending the OTP.,CORRECT,english,account,account,0.5392
I received a damaged product and this is very disappointing.,You can raise a replacement or return request from the app.,CORRECT,english,product,product,0.2419
"I don't want this order anymore, cancel it right now.","The order has not been shipped yet, so it has been cancelled successfully.",CORRECT,english,cancellation,cancellation,0.4863
When will the return pickup happen? I've been waiting every day.,The pickup will be scheduled within the next 24-48 hours and you will receive an SMS update.,CORRECT,english,refund,refund,0.6228
refund yet,Your order will arrive tomorrow.,INTENT_MISMATCH,english,refund,delivery,0.3331
where order,Failed payments are refunded automatically.,INTENT_MISMATCH,english,delivery,payment,-0.0084
money deducted bro,Please reset your password and log in again.,INTENT_MISMATCH,english,payment,account,0.172
cant login,This product is currently in stock.,INTENT_MISMATCH,english,account,product,0.0032
cancel it yaar,Your refund process has already started.,INTENT_MISMATCH,english,cancellation,refund,0.2985
wrong item came,Your parcel is out for delivery.,INTENT_MISMATCH,english,product,delivery,0.3941
refund only half,Your order has been cancelled successfully.,INTENT_MISMATCH,english,refund,cancellation,0.385
refund when,The refund will reflect within 3-5 working days.,CORRECT,english,refund,refund,0.7308
parcel not arrived,"Sorry for the delay, the parcel is still in transit.",CORRECT,english,delivery,delivery,0.6803
upi fail money cut,If the order was not created the amount will be reversed.,CORRECT,english,payment,payment,0.2213
otp not coming,Please resend the OTP or try again later.,CORRECT,english,account,account,0.5978
sent wrong size,You can raise a replacement request from the app.,CORRECT,english,product,product,0.1455
cancel my order,Your order has been cancelled successfully.,CORRECT,english,cancellation,cancellation,0.6952
return pickup when,The pickup will be scheduled within 2 days.,CORRECT,english,refund,refund,0.495
delivery too late,Your parcel is at the nearest hub and will arrive soon.,CORRECT,english,delivery,delivery,0.4709
నేను రిఫండ్ కోరాను కానీ డబ్బు ఇంకా రాలేదు.,మీ రిటర్న్ పికప్ ఇప్పటికే షెడ్యూల్ చేయబడింది.,INTENT_MISMATCH,telugu,refund,cancellation,0.1371
"డెలివరీ చిరునామా తప్పుగా మారింది, ఇప్పుడు ఏమి చేయాలి?",మీరు ఆర్డర్ రద్దు చేసి మళ్లీ ఆర్డర్ పెట్టవచ్చు.,INTENT_MISMATCH,telugu,delivery,cancellation,0.4704
చెల్లింపు విజయవంతమైందని చూపిస్తోంది కానీ నిర్ధారణ రాలేదు.,మీ ఈమెయిల్ ఇన్‌బాక్స్ మరియు స్పామ్ ఫోల్డర్ చూడండి.,INTENT_MISMATCH,telugu,payment,account,0.1159
నా అకౌంట్ తాత్కాలికంగా బ్లాక్ అయింది.,పాస్‌వర్డ్ రీసెట్ లింక్ మీ ఈమెయిల్‌కు పంపించాం.,INTENT_MISMATCH,telugu,account,account,0.2289
